0.0	0.5
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703273U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
250,49510192871094;	157,75;	0,0;	0,0
250,5340576171875;	142,75;	0,0;	0,0
250,572998046875;	132,5;	0,0;	0,0
250,61192321777344;	149,5;	0,0;	0,0
250,65086364746094;	148,25;	0,0;	0,0
250,68978881835938;	156,25;	0,0;	0,0
250,7287139892578;	159,75;	0,0;	0,0
250,7676239013672;	157,75;	0,0;	0,0
250,80653381347656;	166,25;	0,0;	0,0
250,8454132080078;	180,5;	0,0;	0,0
250,8843231201172;	172,0;	0,0;	0,0
250,92320251464844;	171,25;	0,0;	0,0
250,96209716796875;	168,25;	0,0;	0,0
251,00096130371094;	194,5;	0,0;	0,0
251,0398406982422;	288,75;	0,0;	0,0
251,0786895751953;	240,0;	0,0;	0,0
251,1175537109375;	316,5;	0,0;	0,0
251,15640258789062;	414,0;	0,0;	0,0
251,19525146484375;	237,25;	0,0;	0,0
251,2340850830078;	243,25;	0,0;	0,0
251,2729034423828;	184,0;	0,0;	0,0
251,31173706054688;	188,75;	0,0;	0,0
251,35055541992188;	186,0;	0,0;	0,0
251,38937377929688;	268,0;	0,0;	0,0
251,4281768798828;	266,5;	0,0;	0,0
251,46697998046875;	200,5;	0,0;	0,0
251,50576782226562;	186,25;	0,0;	0,0
251,5445556640625;	218,0;	0,0;	0,0
251,58334350585938;	239,5;	0,0;	0,0
251,6221160888672;	216,25;	0,0;	0,0
251,660888671875;	250,75;	0,0;	0,0
251,6996612548828;	313,5;	0,0;	0,0
251,7384033203125;	362,0;	0,0;	0,0
251,7771453857422;	509,75;	0,0;	0,0
251,81590270996094;	329,0;	0,0;	0,0
251,85462951660156;	362,25;	0,0;	0,0
251,8933563232422;	318,25;	0,0;	0,0
251,93206787109375;	245,5;	0,0;	0,0
251,97079467773438;	224,75;	0,0;	0,0
252,00950622558594;	250,0;	0,0;	0,0
252,0482177734375;	309,5;	0,0;	0,0
252,0869140625;	346,0;	0,0;	0,0
252,1256103515625;	385,75;	0,0;	0,0
252,16429138183594;	464,25;	0,0;	0,0
252,20297241210938;	633,5;	0,0;	0,0
252,2416534423828;	1001,75;	0,0;	0,0
252,2803192138672;	654,5;	0,0;	0,0
252,31898498535156;	453,25;	0,0;	0,0
252,35765075683594;	472,5;	0,0;	0,0
252,3962860107422;	493,25;	0,0;	0,0
252,4349365234375;	458,75;	0,0;	0,0
252,4735565185547;	778,75;	0,0;	0,0
252,51219177246094;	824,0;	0,0;	0,0
252,5508270263672;	593,75;	0,0;	0,0
252,58944702148438;	747,5;	0,0;	0,0
252,62803649902344;	502,75;	0,0;	0,0
252,66665649414062;	630,25;	0,0;	0,0
252,70526123046875;	778,5;	0,0;	0,0
252,7438507080078;	464,25;	0,0;	0,0
252,78244018554688;	315,25;	0,0;	0,0
252,8209991455078;	442,25;	0,0;	0,0
252,8595733642578;	824,5;	0,0;	0,0
252,8981475830078;	1108,75;	0,0;	0,0
252,93670654296875;	856,0;	0,0;	0,0
252,97528076171875;	401,0;	0,0;	0,0
253,01382446289062;	282,0;	0,0;	0,0
253,05235290527344;	281,25;	0,0;	0,0
253,09088134765625;	229,75;	0,0;	0,0
253,12942504882812;	225,0;	0,0;	0,0
253,16795349121094;	225,0;	0,0;	0,0
253,2064666748047;	250,5;	0,0;	0,0
253,24497985839844;	312,0;	0,0;	0,0
253,28347778320312;	546,25;	0,0;	0,0
253,32196044921875;	834,5;	0,0;	0,0
253,36045837402344;	659,5;	0,0;	0,0
253,39895629882812;	652,75;	0,0;	0,0
253,43743896484375;	471,5;	0,0;	0,0
253,4759063720703;	456,0;	0,0;	0,0
253,5143585205078;	647,25;	0,0;	0,0
253,55282592773438;	512,75;	0,0;	0,0
253,59127807617188;	629,25;	0,0;	0,0
253,62974548339844;	1055,75;	0,0;	0,0
253,66818237304688;	864,0;	0,0;	0,0
253,7065887451172;	468,0;	0,0;	0,0
253,74502563476562;	483,25;	0,0;	0,0
253,78346252441406;	700,5;	0,0;	0,0
253,82188415527344;	1103,25;	0,0;	0,0
253,8602752685547;	1355,0;	0,0;	0,0
253,89869689941406;	549,5;	0,0;	0,0
253,93707275390625;	328,0;	0,0;	0,0
253,9754638671875;	359,75;	0,0;	0,0
254,01385498046875;	529,5;	0,0;	0,0
254,05223083496094;	725,5;	0,0;	0,0
254,0906219482422;	563,75;	0,0;	0,0
254,1289520263672;	497,5;	0,0;	0,0
254,16732788085938;	564,75;	0,0;	0,0
254,2056884765625;	385,25;	0,0;	0,0
254,2440185546875;	397,25;	0,0;	0,0
254,28236389160156;	520,75;	0,0;	0,0
254,32070922851562;	576,25;	0,0;	0,0
254,3590087890625;	458,25;	0,0;	0,0
254,3973388671875;	377,5;	0,0;	0,0
254,4356689453125;	433,5;	0,0;	0,0
254,47396850585938;	519,25;	0,0;	0,0
254,5122833251953;	438,0;	0,0;	0,0
254,55056762695312;	600,5;	0,0;	0,0
254,58885192871094;	540,25;	0,0;	0,0
254,62713623046875;	483,25;	0,0;	0,0
254,6654052734375;	372,5;	0,0;	0,0
254,7036895751953;	298,5;	0,0;	0,0
254,741943359375;	313,75;	0,0;	0,0
254,7801971435547;	431,5;	0,0;	0,0
254,8184356689453;	628,0;	0,0;	0,0
254,856689453125;	683,75;	0,0;	0,0
254,8949432373047;	871,25;	0,0;	0,0
254,93316650390625;	851,75;	0,0;	0,0
254,97140502929688;	596,75;	0,0;	0,0
255,0095977783203;	465,5;	0,0;	0,0
255,04782104492188;	412,25;	0,0;	0,0
255,08602905273438;	287,0;	0,0;	0,0
