-0.5	1.5
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703278U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
619,9722900390625;	365,25;	0,0;	0,0
620,0406494140625;	397,0;	0,0;	0,0
620,1089477539062;	378,25;	0,0;	0,0
620,17724609375;	409,0;	0,0;	0,0
620,2455444335938;	392,75;	0,0;	0,0
620,3137817382812;	388,5;	0,0;	0,0
620,382080078125;	384,5;	0,0;	0,0
620,4503173828125;	426,0;	0,0;	0,0
620,5185546875;	401,0;	0,0;	0,0
620,5867919921875;	445,25;	0,0;	0,0
620,6549072265625;	413,75;	0,0;	0,0
620,72314453125;	402,75;	0,0;	0,0
620,7913208007812;	395,0;	0,0;	0,0
620,8594360351562;	421,0;	0,0;	0,0
620,9276123046875;	412,5;	0,0;	0,0
620,9957885742188;	406,25;	0,0;	0,0
621,0638427734375;	405,75;	0,0;	0,0
621,1319580078125;	448,5;	0,0;	0,0
621,2000732421875;	422,5;	0,0;	0,0
621,2681274414062;	463,75;	0,0;	0,0
621,336181640625;	436,0;	0,0;	0,0
621,404296875;	439,25;	0,0;	0,0
621,4722900390625;	417,25;	0,0;	0,0
621,540283203125;	435,75;	0,0;	0,0
621,6083374023438;	450,25;	0,0;	0,0
621,67626953125;	454,5;	0,0;	0,0
621,7442626953125;	441,0;	0,0;	0,0
621,812255859375;	493,0;	0,0;	0,0
621,8801879882812;	473,25;	0,0;	0,0
621,9481201171875;	535,0;	0,0;	0,0
622,0159912109375;	498,25;	0,0;	0,0
622,0839233398438;	476,0;	0,0;	0,0
622,15185546875;	459,0;	0,0;	0,0
622,2196655273438;	492,0;	0,0;	0,0
622,2875366210938;	491,5;	0,0;	0,0
622,3554077148438;	511,0;	0,0;	0,0
622,4232177734375;	491,5;	0,0;	0,0
622,4910278320312;	485,5;	0,0;	0,0
622,5588989257812;	490,0;	0,0;	0,0
622,6266479492188;	540,75;	0,0;	0,0
622,6943969726562;	512,0;	0,0;	0,0
622,76220703125;	560,75;	0,0;	0,0
622,8298950195312;	532,25;	0,0;	0,0
622,8976440429688;	564,0;	0,0;	0,0
622,9653930664062;	626,25;	0,0;	0,0
623,0330810546875;	676,0;	0,0;	0,0
623,1007080078125;	854,75;	0,0;	0,0
623,1683349609375;	805,0;	0,0;	0,0
623,2360229492188;	597,0;	0,0;	0,0
623,3037109375;	534,5;	0,0;	0,0
623,3712768554688;	580,0;	0,0;	0,0
623,43896484375;	544,75;	0,0;	0,0
623,506591796875;	528,5;	0,0;	0,0
623,5740966796875;	527,5;	0,0;	0,0
623,6417236328125;	533,75;	0,0;	0,0
623,7092895507812;	550,5;	0,0;	0,0
623,7767944335938;	543,25;	0,0;	0,0
623,8443603515625;	551,75;	0,0;	0,0
623,9119262695312;	530,25;	0,0;	0,0
623,9793701171875;	523,75;	0,0;	0,0
624,046875;	523,75;	0,0;	0,0
624,1143798828125;	531,5;	0,0;	0,0
624,1818237304688;	534,25;	0,0;	0,0
624,249267578125;	553,0;	0,0;	0,0
624,316650390625;	536,25;	0,0;	0,0
624,3840942382812;	515,75;	0,0;	0,0
624,4515380859375;	529,25;	0,0;	0,0
624,518798828125;	530,5;	0,0;	0,0
624,5862426757812;	576,0;	0,0;	0,0
624,6536254882812;	677,5;	0,0;	0,0
624,7208862304688;	635,75;	0,0;	0,0
624,7882690429688;	561,5;	0,0;	0,0
624,8555908203125;	517,75;	0,0;	0,0
624,9228515625;	499,0;	0,0;	0,0
624,9901733398438;	512,75;	0,0;	0,0
625,0574951171875;	506,25;	0,0;	0,0
625,1246948242188;	570,75;	0,0;	0,0
625,1919555664062;	596,75;	0,0;	0,0
625,2592163085938;	638,0;	0,0;	0,0
625,3263549804688;	701,75;	0,0;	0,0
625,3936157226562;	570,0;	0,0;	0,0
625,4608154296875;	550,25;	0,0;	0,0
625,5279541015625;	549,75;	0,0;	0,0
625,5950927734375;	480,0;	0,0;	0,0
625,6622314453125;	507,25;	0,0;	0,0
625,7293701171875;	534,0;	0,0;	0,0
625,7965087890625;	539,0;	0,0;	0,0
625,8635864257812;	524,25;	0,0;	0,0
625,9306640625;	469,5;	0,0;	0,0
